genes	s50	calc_most_common_label	most_common_label_count	other_labels&counts
Kcnj15	0.48	other	1	[('TTR or breakage', 1)]
Tmem186	0.25	other	1	[]
Kpna1	0.33	TTR or breakage	2	[]
Mir99ahg	0.35	TTR or breakage	6	[('IZ', 2), ('termination', 1), ('other', 1)]
Zbtb20	0.48	TTR or breakage	13	[('termination', 3)]
Alcam	0.75	other	6	[]
Robo1	0.56	noisy	13	[('TTR or breakage', 1), ('other', 1)]
Filip1l	0.55	other	3	[('CTR', 2)]
Ydjc	0.16	TTR or breakage	1	[('CTR', 1)]
Bbx	0.55	other	6	[]
Hspbap1	0.26	TTR or breakage	2	[]
Tbc1d5	0.62	TTR or breakage	5	[('termination', 3), ('other', 2)]
Wdr27	0.22	TTR or breakage	3	[]
Tapbp	0.18	IZ	1	[]
Wdr90	0.14	CTR	2	[]
Cramp1	0.21	termination	1	[('other', 1)]
Tcp1	0.25	IZ	1	[]
Lpin2	0.24	other	2	[]
Stk38	0.13	TTR or breakage	2	[]
Yipf4	0.26	IZ	1	[('TTR or breakage', 1)]
Fam120b	0.22	other	2	[]
Gm11110	0.25	TTR or breakage	2	[]
Lrpprc	0.23	other	2	[]
Map3k4	0.3	CTR	3	[]
Akap8l	0.19	TTR or breakage	2	[]
Crem	0.67	TTR or breakage	2	[]
Pde6a	0.22	TTR or breakage	2	[]
4930471G03Rik	0.2	TTR or breakage	1	[]
Pcdhb21	0.6	TTR or breakage	1	[]
Spink5	0.6	TTR or breakage	1	[('termination', 1)]
Ccdc68	0.53	TTR or breakage	2	[]
Mtpap	0.48	IZ	1	[]
